,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
7670,MANTA 1H,24:00:00,39.89,48.64,39.0,220,100,,2019-12-26
7671,REEF 3H,24:00:00,43.24,52.4,20.0,200,80,,2019-12-26
7672,RIDGEBACK 1H,24:00:00,21.72,13.72,5.0,120,70,,2019-12-26
7673,SEA WASP 2H,24:00:00,18.38,56.85,3.34,150,80,,2019-12-26
7674,STINGRAY 2H,24:00:00,21.74,18.62,10.0,225,90,,2019-12-26
7679,Summary,,572.29,1059.71,335.0,,,,2019-12-26
7675,THORNY DEVIL 1H,24:00:00,68.16,168.49,38.0,125,550,,2019-12-26
7676,THORNY DEVIL 2H,20:00,5.77,133.55,8.0,0,0,w.o. on location - rod up,2019-12-26
7677,THORNY DEVIL 3H,24:00:00,28.03,38.88,12.0,225,100,,2019-12-26
7678,WOMBAT 2H,24:00:00,20.04,21.04,20.0,220,90,,2019-12-26
7680,CROC 1H,24:00:00,18.3,16.6,2.0,200,70,3on3off,2019-12-25
7681,GALAH 3H,24:00:00,56.73,54.1,22.0,225,100,,2019-12-25
7682,GOANNA 1H,24:00:00,58.11,31.5,62.0,220,100,,2019-12-25
7683,GREAT WHITE 1H,24:00:00,83.33,284.14,40.0,125,90,,2019-12-25
7684,GREAT WHITE 2H,24:00:00,66.12,110.05,36.67,125,90,,2019-12-25
7685,JAVELINA 1H,24:00:00,25.01,19.47,11.0,150,80,22 on 2 off,2019-12-25
7686,MANTA 1H,24:00:00,44.63,51.74,40.0,220,100,,2019-12-25
7687,REEF 3H,24:00:00,38.26,47.66,20.0,200,80,,2019-12-25
7688,RIDGEBACK 1H,24:00:00,18.38,13.57,12.0,120,70,,2019-12-25
7689,SEA WASP 2H,24:00:00,13.38,64.69,5.0,150,80,,2019-12-25
7690,STINGRAY 2H,24:00:00,22.63,25.22,18.0,225,90,,2019-12-25
7695,Summary,,609.87,1105.64,377.67,,,,2019-12-25
7691,THORNY DEVIL 1H,24:00:00,61.78,183.12,35.0,125,600,,2019-12-25
7692,THORNY DEVIL 2H,24:00:00,61.44,155.12,38.0,130,650,Shut down/Blow down for Rod Up,2019-12-25
7693,THORNY DEVIL 3H,24:00:00,25.07,35.05,13.0,225,100,,2019-12-25
7694,WOMBAT 2H,24:00:00,16.7,13.61,23.0,220,90,,2019-12-25
7696,CROC 1H,24:00:00,19.97,16.6,3.0,200,70,3on3off,2019-12-24
7697,GALAH 3H,24:00:00,31.73,23.7,12.0,225,100,,2019-12-24
7698,GOANNA 1H,24:00:00,85.27,20.59,65.0,220,100,,2019-12-24
7699,GREAT WHITE 1H,24:00:00,80.33,289.58,48.24,125,90,,2019-12-24
7700,GREAT WHITE 2H,24:00:00,71.67,113.39,35.07,125,90,,2019-12-24
7701,JAVELINA 1H,24:00:00,21.64,19.14,10.0,150,80,22 on 2 off,2019-12-24
7702,MANTA 1H,24:00:00,39.05,53.44,40.0,220,100,,2019-12-24
7703,REEF 3H,24:00:00,43.36,47.66,20.0,200,80,,2019-12-24
7704,RIDGEBACK 1H,24:00:00,20.05,13.53,7.0,120,70,,2019-12-24
7705,SEA WASP 2H,24:00:00,16.07,59.49,5.0,150,80,,2019-12-24
7706,STINGRAY 2H,24:00:00,50.14,48.18,13.0,225,90,replaced rubbers,2019-12-24
7711,Summary,,660.68,1102.05,367.31,,,,2019-12-24
7707,THORNY DEVIL 1H,24:00:00,73.14,186.44,33.0,125,600,,2019-12-24
7708,THORNY DEVIL 2H,24:00:00,58.12,155.89,42.0,130,650,,2019-12-24
7709,THORNY DEVIL 3H,24:00:00,31.77,33.48,12.0,225,100,,2019-12-24
7710,WOMBAT 2H,24:00:00,18.37,20.94,22.0,220,90,,2019-12-24
7712,CROC 1H,24:00:00,18.34,16.92,3.0,200,70,3on3off,2019-12-23
7713,GALAH 3H,24:00:00,13.36,6.0,7.0,225,100,"gas locked - bled, pumped, surged - bol",2019-12-23
7714,GOANNA 1H,24:00:00,50.88,23.0,50.0,220,100,,2019-12-23
7715,GREAT WHITE 1H,24:00:00,88.33,287.2,38.33,125,90,,2019-12-23
7716,GREAT WHITE 2H,24:00:00,70.0,107.39,33.33,125,90,Small leak at Heater Thermostat. Turned in work order.,2019-12-23
7717,JAVELINA 1H,24:00:00,25.03,17.69,8.0,150,80,22 on 2 off,2019-12-23
7718,MANTA 1H,24:00:00,41.84,57.0,42.0,220,100,,2019-12-23
7719,REEF 3H,24:00:00,49.9,51.41,0.01,200,80,,2019-12-23
7720,RIDGEBACK 1H,24:00:00,20.06,13.4,5.0,120,70,,2019-12-23
7721,SEA WASP 2H,24:00:00,16.7,59.77,5.0,160,80,,2019-12-23
7722,STINGRAY 2H,24:00:00,10.03,18.22,2.0,225,90,Tightened rubbers & Pumped/Surged Tbg,2019-12-23
7727,Summary,,553.74,1055.0,296.66,,,,2019-12-23
7723,THORNY DEVIL 1H,24:00:00,53.19,189.0,33.0,125,600,,2019-12-23
7724,THORNY DEVIL 2H,24:00:00,54.31,156.0,40.0,130,650,,2019-12-23
7725,THORNY DEVIL 3H,24:00:00,25.07,37.0,13.0,225,100,,2019-12-23
7726,WOMBAT 2H,24:00:00,16.7,15.0,17.0,220,90,,2019-12-23
7728,CROC 1H,24:00:00,19.96,17.9,3.0,200,70,3on3off,2019-12-22
7729,GALAH 3H,24:00:00,48.43,43.95,13.0,225,100,,2019-12-22
7730,GOANNA 1H,24:00:00,43.47,21.85,62.0,220,100,,2019-12-22
7731,GREAT WHITE 1H,24:00:00,79.99,291.75,40.0,125,90,,2019-12-22
7732,GREAT WHITE 2H,24:00:00,65.09,110.2,36.67,125,90,,2019-12-22
7733,JAVELINA 1H,24:00:00,26.7,18.1,12.0,150,80,22 on 2 off,2019-12-22
7734,MANTA 1H,24:00:00,39.81,55.77,42.0,220,100,,2019-12-22
7735,REEF 3H,24:00:00,41.58,54.13,20.0,200,80,,2019-12-22
7736,RIDGEBACK 1H,24:00:00,17.38,13.42,10.0,120,70,,2019-12-22
7737,SEA WASP 2H,24:00:00,18.37,61.48,8.33,160,80,,2019-12-22
7738,STINGRAY 2H,24:00:00,20.06,39.13,27.0,225,90,,2019-12-22
7743,Summary,,589.65,1135.38,395.0,,,,2019-12-22
7739,THORNY DEVIL 1H,24:00:00,67.28,193.22,38.0,125,600,,2019-12-22
7740,THORNY DEVIL 2H,24:00:00,63.1,157.58,40.0,130,650,,2019-12-22
7741,THORNY DEVIL 3H,24:00:00,20.06,37.9,18.0,225,100,,2019-12-22
7742,WOMBAT 2H,24:00:00,18.37,19.0,25.0,220,90,,2019-12-22
7744,CROC 1H,24:00:00,19.96,17.9,3.0,200,70,3on3off,2019-12-21
7745,GALAH 3H,24:00:00,46.76,50.6,20.0,225,100,,2019-12-21
7746,GOANNA 1H,24:00:00,76.95,25.0,88.0,220,100,,2019-12-21
7747,GREAT WHITE 1H,24:00:00,79.82,298.64,38.34,125,90,,2019-12-21
7748,GREAT WHITE 2H,24:00:00,63.34,105.04,36.67,125,90,,2019-12-21
7749,JAVELINA 1H,24:00:00,21.68,18.53,12.0,150,80,22 on 2 off,2019-12-21
7750,MANTA 1H,24:00:00,44.64,45.51,42.0,220,100,,2019-12-21
7751,REEF 3H,24:00:00,52.3,54.13,10.0,200,80,,2019-12-21
7752,RIDGEBACK 1H,24:00:00,21.72,13.42,5.0,120,70,,2019-12-21
7753,SEA WASP 2H,24:00:00,16.7,62.9,6.67,150,80,,2019-12-21
7754,STINGRAY 2H,24:00:00,40.12,27.62,8.0,225,90,,2019-12-21
7759,Summary,,658.71,1130.24,384.68,,,,2019-12-21
7755,THORNY DEVIL 1H,24:00:00,64.83,195.07,37.0,125,600,,2019-12-21
7756,THORNY DEVIL 2H,24:00:00,63.1,158.02,43.0,130,650,,2019-12-21
7757,THORNY DEVIL 3H,24:00:00,30.09,38.45,15.0,225,100,,2019-12-21
7758,WOMBAT 2H,24:00:00,16.7,19.41,20.0,220,90,,2019-12-21
7760,CROC 1H,24:00:00,19.97,18.55,10.0,200,70,3on3off,2019-12-20
7761,GALAH 3H,24:00:00,39.72,33.0,23.0,225,100,,2019-12-20
7762,GOANNA 1H,24:00:00,68.59,26.0,107.0,220,100,,2019-12-20
7763,GREAT WHITE 1H,24:00:00,84.08,304.15,38.33,125,90,,2019-12-20
7764,GREAT WHITE 2H,24:00:00,75.12,114.76,38.33,125,90,,2019-12-20
7765,JAVELINA 1H,24:00:00,25.01,17.46,13.0,150,80,22 on 2 off,2019-12-20
7766,MANTA 1H,24:00:00,41.85,53.0,47.0,220,100,,2019-12-20
7767,REEF 3H,24:00:00,55.02,33.79,20.0,200,80,,2019-12-20
7768,RIDGEBACK 1H,24:00:00,18.38,15.06,16.0,120,70,,2019-12-20
7769,SEA WASP 2H,24:00:00,21.71,64.57,5.0,150,80,,2019-12-20
7770,STINGRAY 2H,24:00:00,40.11,48.65,20.0,225,90,,2019-12-20
7775,Summary,,665.15,1128.99,447.66,,,,2019-12-20
7771,THORNY DEVIL 1H,24:00:00,64.76,193.0,37.0,130,600,paraffin cut,2019-12-20
7772,THORNY DEVIL 2H,24:00:00,61.17,159.0,45.0,125,650,paraffin cut,2019-12-20
7773,THORNY DEVIL 3H,24:00:00,29.62,32.0,8.0,225,100,,2019-12-20
7774,WOMBAT 2H,24:00:00,20.04,16.0,20.0,220,90,,2019-12-20
7776,CROC 1H,24:00:00,26.05,18.52,7.0,200,70,3on3off,2019-12-19
7777,GALAH 3H,24:00:00,46.9,41.0,20.0,225,100,,2019-12-19
7778,GOANNA 1H,24:00:00,10.88,18.0,117.0,220,100,,2019-12-19
7779,GREAT WHITE 1H,24:00:00,83.33,311.44,41.67,125,90,,2019-12-19
7780,GREAT WHITE 2H,24:00:00,61.66,104.41,33.33,125,90,,2019-12-19
7781,JAVELINA 1H,24:00:00,28.34,16.98,13.0,150,80,22 on 2 off,2019-12-19
7782,MANTA 1H,24:00:00,41.85,22.0,45.0,220,100,,2019-12-19
7783,REEF 3H,24:00:00,45.05,42.45,15.0,200,80,,2019-12-19
7784,RIDGEBACK 1H,24:00:00,20.05,15.34,8.0,120,70,,2019-12-19
7785,SEA WASP 2H,24:00:00,20.05,64.88,6.66,170,80,,2019-12-19
7786,STINGRAY 2H,24:00:00,13.18,19.27,8.0,225,90,Rubbers leaking. Tightened.,2019-12-19
7791,Summary,,562.04,1082.29,419.66,,,,2019-12-19
7787,THORNY DEVIL 1H,24:00:00,68.16,189.0,38.0,125,600,,2019-12-19
7788,THORNY DEVIL 2H,24:00:00,58.12,154.0,40.0,125,650,,2019-12-19
7789,THORNY DEVIL 3H,24:00:00,18.38,42.0,10.0,225,100,,2019-12-19
7790,WOMBAT 2H,24:00:00,20.04,23.0,17.0,220,90,,2019-12-19
7792,CROC 1H,24:00:00,28.0,18.52,8.0,200,70,3on3off,2019-12-18
7793,GALAH 3H,24:00:00,46.79,51.43,28.0,225,100,,2019-12-18
7794,GOANNA 1H,24:00:00,0.01,4.0,120.0,220,100,,2019-12-18
7795,GREAT WHITE 1H,24:00:00,81.67,302.6,50.0,125,90,,2019-12-18
7796,GREAT WHITE 2H,24:00:00,68.34,107.73,37.0,125,90,,2019-12-18
7797,JAVELINA 1H,24:00:00,23.34,16.09,7.0,150,80,22 on 2 off,2019-12-18
7798,MANTA 1H,12:00,21.9,58.0,33.0,220,100,murphy switch gas supply line froze - bol,2019-12-18
7799,REEF 3H,24:00:00,43.62,42.45,13.0,200,80,,2019-12-18
7800,RIDGEBACK 1H,24:00:00,20.06,11.71,7.0,120,70,,2019-12-18
7801,SEA WASP 2H,24:00:00,18.38,67.32,13.34,170,80,,2019-12-18
7802,STINGRAY 2H,24:00:00,35.1,33.72,15.0,225,90,,2019-12-18
7807,Summary,,559.9,1114.91,443.34,,,,2019-12-18
7803,THORNY DEVIL 1H,24:00:00,67.78,192.0,40.0,125,600,,2019-12-18
7804,THORNY DEVIL 2H,24:00:00,61.06,157.0,45.0,125,650,,2019-12-18
7805,THORNY DEVIL 3H,24:00:00,23.82,39.34,10.0,225,100,,2019-12-18
7806,WOMBAT 2H,24:00:00,20.04,13.0,17.0,220,90,,2019-12-18
7808,CROC 1H,24:00:00,19.97,18.07,3.0,200,70,3on3off,2019-12-17
7809,GALAH 3H,24:00:00,46.79,43.11,25.0,225,100,chem treated,2019-12-17
7810,GOANNA 1H,17:00,0.01,4.0,102.0,220,20,"down - backfiring, replacing dist. cap & leaking oil line. bol @ 2pm",2019-12-17
7811,GREAT WHITE 1H,24:00:00,90.0,306.91,45.0,125,90,,2019-12-17
7812,GREAT WHITE 2H,24:00:00,69.76,108.81,34.0,125,90,,2019-12-17
7813,JAVELINA 1H,24:00:00,26.68,15.15,10.0,150,80,22 on 2 off,2019-12-17
7814,MANTA 1H,24:00:00,41.84,62.9,42.0,220,100,chem treated,2019-12-17
7815,REEF 3H,24:00:00,46.6,46.47,8.0,200,80,,2019-12-17
7816,RIDGEBACK 1H,24:00:00,20.06,13.27,8.0,120,70,,2019-12-17
7817,SEA WASP 2H,24:00:00,23.39,81.0,6.66,170,80,,2019-12-17
7818,STINGRAY 2H,24:00:00,30.09,35.89,15.0,225,90,,2019-12-17
7823,Summary,,598.21,1149.9,408.66,,,,2019-12-17
7819,THORNY DEVIL 1H,24:00:00,69.82,195.82,38.0,125,600,,2019-12-17
7820,THORNY DEVIL 2H,24:00:00,63.1,159.25,42.0,125,650,,2019-12-17
7821,THORNY DEVIL 3H,24:00:00,30.07,37.91,8.0,225,100,,2019-12-17
7822,WOMBAT 2H,24:00:00,20.04,21.34,22.0,220,90,,2019-12-17
7824,CROC 1H,24:00:00,24.96,18.06,3.0,200,70,3on3off,2019-12-16
7825,GALAH 3H,24:00:00,50.13,48.37,22.0,225,100,,2019-12-16
7826,GOANNA 1H,24:00:00,0.01,4.0,160.0,220,20,,2019-12-16
7827,GREAT WHITE 1H,24:00:00,95.92,301.46,48.0,125,90,,2019-12-16
7828,GREAT WHITE 2H,24:00:00,80.0,116.57,38.0,125,90,,2019-12-16
7829,JAVELINA 1H,24:00:00,22.02,18.56,11.0,150,80,22 on 2 off,2019-12-16
7830,MANTA 1H,24:00:00,41.84,56.42,40.0,220,100,,2019-12-16
7831,REEF 3H,24:00:00,48.26,44.04,16.0,200,80,,2019-12-16
7832,RIDGEBACK 1H,24:00:00,20.05,15.06,11.0,120,70,,2019-12-16
7833,SEA WASP 2H,24:00:00,13.37,27.47,20.0,150,80,,2019-12-16
7834,STINGRAY 2H,24:00:00,25.08,29.24,15.0,225,90,,2019-12-16
7839,Summary,,598.82,1091.78,497.0,,,,2019-12-16
7835,THORNY DEVIL 1H,24:00:00,68.16,196.71,42.0,125,600,,2019-12-16
7836,THORNY DEVIL 2H,24:00:00,63.11,160.41,45.0,125,650,,2019-12-16
7837,THORNY DEVIL 3H,24:00:00,26.73,40.25,8.0,225,100,,2019-12-16
7838,WOMBAT 2H,24:00:00,19.19,15.16,18.0,220,90,,2019-12-16
7840,CROC 1H,24:00:00,24.96,18.06,8.0,200,70,3on3off,2019-12-15
7841,GALAH 3H,24:00:00,47.57,41.26,20.0,225,100,,2019-12-15
7842,GOANNA 1H,24:00:00,0.01,4.0,175.0,220,20,,2019-12-15
7843,GREAT WHITE 1H,24:00:00,89.62,300.6,44.0,125,90,,2019-12-15
7844,GREAT WHITE 2H,24:00:00,73.89,110.41,34.0,125,90,,2019-12-15
7845,JAVELINA 1H,24:00:00,30.02,18.43,13.0,150,80,22,2019-12-15
7846,MANTA 1H,24:00:00,41.84,50.61,38.0,220,100,,2019-12-15
7847,REEF 3H,24:00:00,39.94,44.04,12.0,200,80,,2019-12-15
7848,RIDGEBACK 1H,24:00:00,26.74,15.5,7.0,120,70,,2019-12-15
7849,SEA WASP 2H,24:00:00,13.37,59.72,63.34,150,80,hot oiled 20-50 with fresh water,2019-12-15
7850,STINGRAY 2H,24:00:00,31.77,38.18,15.0,225,90,,2019-12-15
7855,Summary,,587.81,1115.59,547.34,,,,2019-12-15
7851,THORNY DEVIL 1H,24:00:00,68.16,197.32,40.0,125,600,,2019-12-15
7852,THORNY DEVIL 2H,24:00:00,63.1,159.54,40.0,125,650,,2019-12-15
7853,THORNY DEVIL 3H,24:00:00,16.71,38.23,13.0,225,100,,2019-12-15
7854,WOMBAT 2H,24:00:00,20.12,19.69,25.0,220,90,,2019-12-15
7856,CROC 1H,24:00:00,23.29,4.0,3.0,200,70,3on3off,2019-12-14
7857,GALAH 3H,24:00:00,50.13,43.05,25.0,225,100,,2019-12-14
7858,GOANNA 1H,15:00,0.01,4.0,120.0,220,40,,2019-12-14
7859,GREAT WHITE 1H,24:00:00,85.0,291.45,44.0,125,90,,2019-12-14
7860,GREAT WHITE 2H,24:00:00,68.33,114.12,37.0,125,90,,2019-12-14
7861,JAVELINA 1H,24:00:00,21.68,18.11,8.0,150,80,22 on 2 off,2019-12-14
7862,MANTA 1H,24:00:00,41.84,46.37,40.0,220,100,,2019-12-14
7863,REEF 3H,24:00:00,43.25,4.0,16.0,200,80,,2019-12-14
7864,RIDGEBACK 1H,24:00:00,20.05,13.73,11.0,120,70,,2019-12-14
7865,SEA WASP 2H,24:00:00,10.06,58.25,1.66,150,80,,2019-12-14
7866,STINGRAY 2H,24:00:00,15.05,14.76,5.0,225,90,,2019-12-14
7871,Summary,,556.83,1028.3,431.66,,,,2019-12-14
7867,THORNY DEVIL 1H,24:00:00,74.92,197.3,43.0,125,600,,2019-12-14
7868,THORNY DEVIL 2H,24:00:00,61.47,158.02,43.0,125,650,,2019-12-14
7869,THORNY DEVIL 3H,24:00:00,25.06,40.02,10.0,225,100,,2019-12-14
7870,WOMBAT 2H,24:00:00,16.7,21.12,25.0,220,90,,2019-12-14
7872,CROC 1H,24:00:00,29.95,19.46,0.01,200,70,3on3off,2019-12-13
7873,GALAH 3H,24:00:00,50.13,37.25,25.0,225,100,,2019-12-13
7874,GOANNA 1H,0:00,0.01,0.01,0.01,0,0,BOL @ 4 pm,2019-12-13
7875,GREAT WHITE 1H,24:00:00,85.84,283.7,45.0,125,90,,2019-12-13
7876,GREAT WHITE 2H,24:00:00,65.6,107.3,42.0,125,90,,2019-12-13
7877,JAVELINA 1H,24:00:00,21.68,16.09,10.0,150,80,22 on 2 off,2019-12-13
7878,MANTA 1H,24:00:00,44.64,49.05,42.0,220,100,,2019-12-13
7879,REEF 3H,24:00:00,39.92,45.04,18.0,200,80,,2019-12-13
7880,RIDGEBACK 1H,24:00:00,21.75,12.55,7.0,120,70,,2019-12-13
7881,SEA WASP 2H,24:00:00,15.1,58.47,5.0,150,80,,2019-12-13
7882,STINGRAY 2H,24:00:00,26.74,23.38,15.0,225,90,,2019-12-13
7887,Summary,,581.62,1066.46,324.0,,,,2019-12-13
7883,THORNY DEVIL 1H,24:00:00,73.72,199.93,47.0,125,600,,2019-12-13
7884,THORNY DEVIL 2H,24:00:00,64.78,158.64,35.0,125,650,,2019-12-13
7885,THORNY DEVIL 3H,24:00:00,25.06,40.18,13.0,225,100,,2019-12-13
7886,WOMBAT 2H,24:00:00,16.71,15.42,20.0,220,90,,2019-12-13
7888,CROC 1H,24:00:00,18.3,18.43,3.0,200,70,3on3off,2019-12-12
7889,GALAH 3H,24:00:00,43.06,42.0,12.0,225,100,,2019-12-12
7890,GOANNA 1H,0:00,0.01,0.01,0.01,0,0,workover on location,2019-12-12
7891,GREAT WHITE 1H,24:00:00,84.16,277.2,45.0,125,90,,2019-12-12
7892,GREAT WHITE 2H,24:00:00,65.0,108.21,40.0,125,90,,2019-12-12
7893,JAVELINA 1H,24:00:00,25.02,13.82,10.0,150,80,22 on 2 off,2019-12-12
7894,MANTA 1H,24:00:00,44.73,48.0,36.0,220,100,,2019-12-12
7895,REEF 3H,24:00:00,41.58,42.04,12.0,200,80,,2019-12-12
7896,RIDGEBACK 1H,24:00:00,17.14,12.09,8.0,120,70,,2019-12-12
7897,SEA WASP 2H,24:00:00,15.59,57.85,10.0,150,80,,2019-12-12
7898,STINGRAY 2H,24:00:00,31.76,46.27,25.0,225,90,,2019-12-12
7903,Summary,,554.38,1088.91,325.0,,,,2019-12-12
7899,THORNY DEVIL 1H,24:00:00,78.13,199.0,38.0,125,600,,2019-12-12
7900,THORNY DEVIL 2H,24:00:00,51.48,158.0,40.0,125,650,,2019-12-12
7901,THORNY DEVIL 3H,24:00:00,20.05,40.0,8.0,225,100,,2019-12-12
7902,WOMBAT 2H,24:00:00,18.38,26.0,38.0,220,110,,2019-12-12
7904,CROC 1H,24:00:00,24.95,4.15,0.01,200,70,3on3off NO.COMMS.,2019-12-11
7905,GALAH 3H,22:00,37.07,35.6,20.0,225,100,down 2 hrs - BTU cut power,2019-12-11
7906,GOANNA 1H,0:00,0.01,0.01,0.01,0,0,workover on location,2019-12-11
7907,GREAT WHITE 1H,24:00:00,88.34,285.81,40.0,125,90,,2019-12-11
7908,GREAT WHITE 2H,24:00:00,79.8,111.12,25.0,125,90,,2019-12-11
7909,JAVELINA 1H,24:00:00,21.68,14.89,13.0,150,80,22 on 2 off,2019-12-11
7910,MANTA 1H,24:00:00,41.91,56.8,48.0,220,100,,2019-12-11
7911,REEF 3H,24:00:00,38.33,4.27,10.0,200,80,NO COMMS.,2019-12-11
7912,RIDGEBACK 1H,24:00:00,20.05,12.67,8.0,120,70,,2019-12-11
7913,SEA WASP 2H,24:00:00,18.38,59.37,3.34,150,80,,2019-12-11
7914,STINGRAY 2H,24:00:00,22.39,21.95,2.0,225,90,,2019-12-11
7919,Summary,,568.27,1013.18,325.34,,,,2019-12-11
7915,THORNY DEVIL 1H,24:00:00,76.47,201.81,42.0,130,600,,2019-12-11
7916,THORNY DEVIL 2H,24:00:00,56.95,161.08,48.0,125,650,,2019-12-11
7917,THORNY DEVIL 3H,24:00:00,30.25,37.36,8.0,225,100,down 2 hrs - BTU cut power / chem treated,2019-12-11
7918,WOMBAT 2H,24:00:00,11.7,6.3,58.0,220,110,hot oiled casing and flowline,2019-12-11
7920,CROC 1H,24:00:00,14.97,4.0,3.0,200,70,3on3off,2019-12-10
7921,GALAH 3H,24:00:00,40.08,30.0,20.0,225,100,,2019-12-10
7922,GOANNA 1H,0:00,0.01,0.01,0.01,0,0,workover on location,2019-12-10
7923,GREAT WHITE 1H,24:00:00,89.94,277.72,42.0,125,90,,2019-12-10
7924,GREAT WHITE 2H,24:00:00,70.0,106.95,35.0,125,90,,2019-12-10
7925,JAVELINA 1H,24:00:00,30.01,15.89,8.0,150,80,22 on 2 off,2019-12-10
7926,MANTA 1H,24:00:00,41.84,55.0,45.0,220,100,,2019-12-10
7927,REEF 3H,24:00:00,44.85,4.0,12.0,200,80,,2019-12-10
7928,RIDGEBACK 1H,24:00:00,20.05,12.1,12.0,120,70,,2019-12-10
7929,SEA WASP 2H,24:00:00,18.38,59.2,6.66,150,80,,2019-12-10
7930,STINGRAY 2H,24:00:00,26.75,20.67,12.0,225,90,,2019-12-10
7935,Summary,,580.49,1001.53,312.66,,,,2019-12-10
7931,THORNY DEVIL 1H,24:00:00,75.43,200.0,40.0,130,600,,2019-12-10
7932,THORNY DEVIL 2H,24:00:00,56.37,163.0,42.0,130,650,,2019-12-10
7933,THORNY DEVIL 3H,24:00:00,31.77,34.0,13.0,225,100,,2019-12-10
7934,WOMBAT 2H,24:00:00,20.05,19.0,22.0,220,110,,2019-12-10
7936,CROC 1H,24:00:00,23.29,4.0,8.0,200,70,3on3off,2019-12-09
7937,GALAH 3H,24:00:00,33.4,26.0,58.0,225,100,,2019-12-09
7938,GOANNA 1H,0:00,0.01,0.01,0.01,0,0,workover on location,2019-12-09
7939,GREAT WHITE 1H,24:00:00,81.67,285.51,44.0,125,90,,2019-12-09
7940,GREAT WHITE 2H,24:00:00,75.0,108.91,40.0,125,90,,2019-12-09
7941,JAVELINA 1H,24:00:00,21.67,17.77,11.0,150,80,22 on 2 off,2019-12-09
7942,MANTA 1H,24:00:00,41.84,57.0,42.0,220,100,,2019-12-09
7943,REEF 3H,24:00:00,43.25,4.0,17.0,200,80,,2019-12-09
7944,RIDGEBACK 1H,24:00:00,20.05,13.94,8.0,120,70,,2019-12-09
7945,SEA WASP 2H,24:00:00,20.05,61.05,3.34,150,80,,2019-12-09
7946,STINGRAY 2H,24:00:00,35.11,48.56,17.0,225,90,,2019-12-09
7951,Summary,,585.05,1059.74,358.34,,,,2019-12-09
7947,THORNY DEVIL 1H,24:00:00,74.81,207.0,35.0,125,600,,2019-12-09
7948,THORNY DEVIL 2H,24:00:00,64.77,168.0,47.0,130,650,,2019-12-09
7949,THORNY DEVIL 3H,24:00:00,30.09,38.0,8.0,225,100,,2019-12-09
7950,WOMBAT 2H,24:00:00,20.05,20.0,20.0,220,110,,2019-12-09
7952,CROC 1H,24:00:00,19.97,4.0,3.0,200,70,3on3off,2019-12-08
7953,GALAH 3H,24:00:00,31.73,39.44,60.0,225,100,,2019-12-08
7954,GOANNA 1H,0:00,0.01,0.01,0.01,0,100,awaiting workover,2019-12-08
7955,GREAT WHITE 1H,24:00:00,86.12,280.97,40.0,125,90,,2019-12-08
7956,GREAT WHITE 2H,24:00:00,68.34,101.3,38.0,125,90,,2019-12-08
7957,JAVELINA 1H,24:00:00,22.21,17.71,13.0,150,80,,2019-12-08
7958,MANTA 1H,24:00:00,39.05,56.91,42.0,220,100,,2019-12-08
7959,REEF 3H,24:00:00,38.25,4.0,15.0,200,80,,2019-12-08
7960,RIDGEBACK 1H,24:00:00,20.06,13.89,11.0,120,70,,2019-12-08
7961,SEA WASP 2H,24:00:00,20.05,64.89,8.33,150,80,,2019-12-08
7962,STINGRAY 2H,24:00:00,25.08,21.82,10.0,225,90,,2019-12-08
7967,Summary,,548.96,1046.72,364.33,,,,2019-12-08
7963,THORNY DEVIL 1H,24:00:00,65.45,211.82,37.0,130,600,,2019-12-08
7964,THORNY DEVIL 2H,24:00:00,68.91,174.46,55.0,130,650,,2019-12-08
7965,THORNY DEVIL 3H,24:00:00,25.36,38.54,12.0,225,100,,2019-12-08
7966,WOMBAT 2H,24:00:00,18.38,16.97,20.0,220,110,,2019-12-08
7968,CROC 1H,24:00:00,15.03,4.0,10.0,200,70,3on3off trash in pump / sped unit up got P/A back.,2019-12-07
7969,GALAH 3H,24:00:00,40.08,13.0,40.0,225,100,hot oiled casing and flowline,2019-12-07
7970,GOANNA 1H,0:00,0.01,0.01,0.01,0,100,awaiting workover,2019-12-07
7971,GREAT WHITE 1H,24:00:00,81.67,281.29,41.0,125,90,,2019-12-07
7972,GREAT WHITE 2H,24:00:00,70.01,102.37,29.0,125,90,,2019-12-07
7973,JAVELINA 1H,24:00:00,23.35,17.14,8.0,150,80,22 on 2 off,2019-12-07
7974,MANTA 1H,24:00:00,38.69,59.0,45.0,220,100,,2019-12-07
7975,REEF 3H,24:00:00,43.98,4.0,15.0,200,80,,2019-12-07
7976,RIDGEBACK 1H,24:00:00,20.05,13.47,7.0,120,70,,2019-12-07
7977,SEA WASP 2H,24:00:00,20.04,70.23,10.0,150,80,,2019-12-07
7978,STINGRAY 2H,24:00:00,36.78,48.5,17.0,225,90,,2019-12-07
7983,Summary,,593.93,1065.0,355.0,,,,2019-12-07
7979,THORNY DEVIL 1H,24:00:00,71.48,217.0,40.0,130,600,,2019-12-07
7980,THORNY DEVIL 2H,24:00:00,83.04,182.0,62.0,130,650,,2019-12-07
7981,THORNY DEVIL 3H,24:00:00,30.09,37.0,8.0,225,100,,2019-12-07
7982,WOMBAT 2H,24:00:00,19.64,16.0,23.0,220,110,HLP,2019-12-07
7984,CROC 1H,24:00:00,10.02,9.65,0.01,200,70,3on3off gas meter not reading / waiting on coastal flow.,2019-12-06
